"time","target","actual","min","max"
"0.0","0.0","0.0","0","1.0"
"0.1","0.0","0.0","0","1.0"
"0.2","0.0","0.0","0","1.0"
"0.3","0.0","0.0","0","1.0"
"0.4","0.0","0.0","0","1.0"
"0.5","0.0","0.0","0","1.0"
"0.6","0.0","0.0","0","1.0"
"0.7","0.0","0.0","0","1.0"
"0.8","0.0","0.0","0","1.0"
"0.9","0.0","0.0","0","1.0"
"1.0","0.0","0.0","0","1.0"
"1.1","0.0","0.0","0","1.0"
"1.2","0.0","0.0","0","1.0"
"1.3","0.0","0.0","0","1.0"
"1.4","0.0","0.0","0","1.0"
"1.5","0.0","0.0","0","1.0"
"1.6","0.0","0.0","0","1.0"
"1.7","0.0","0.0","0","1.0"
"1.8","0.0","0.0","0","1.0"
"1.9","0.0","0.14141853819224492","0","1.0"
"2.0","0.0","0.23593457116663125","0","1.0"
"2.1","0.2","0.3516627794868908","0","1.2"
"2.2","0.4","0.47436499959406375","0","1.4"
"2.3","0.6","0.6021785724407772","0","1.6"
"2.4","0.8","0.7341157038934134","0","1.8"
"2.5","1.0","0.8695008365289282","0.0","2.0"
"2.6","1.2","1.0078346151881448","0.19999999999999996","2.2"
"2.7","1.4","1.1487322076317432","0.3999999999999999","2.4"
"2.8","1.6","1.291888379855497","0.6000000000000001","2.6"
"2.9","1.8","1.4642589290369998","0.8","2.8"
"3.0","2.0","1.6534901719363608","1.0","3.0"
"3.1","2.29","1.8526988153998247","1.29","3.29"
"3.2","2.58","2.0583060069341568","1.58","3.58"
"3.3","2.87","2.268410304915155","1.87","3.87"
"3.4","3.16","2.4819409332885756","2.16","4.16"
"3.5","3.45","2.6982501635109304","2.45","4.45"
"3.6","3.74","2.9169162480088726","2.74","4.74"
"3.7","4.03","3.137644994309292","3.0300000000000002","5.03"
"3.8","4.32","3.3602184714613577","3.3200000000000003","5.32"
"3.9","4.61","3.59148351441029","3.6100000000000003","5.61"
